"maintenance_id","event","total_cost","service","labor_hours"
"MAINT00000441","Repair",1314.48,"Scheduled Repair",3.3
"MAINT00000442","Inspection",90.15,"Routine Inspection",0.7
"MAINT00000443","Transmission",2167.10,"Routine Transmission",0.6
"MAINT00000444","Transmission",2204.77,"Scheduled Transmission",6.5
"MAINT00000445","Repair",1781.65,"Scheduled Repair",6.2
"MAINT00000446","Repair",4113.73,"Scheduled Repair",6.9
"MAINT00000447","Tire",561.60,"Scheduled Tire",3.3
"MAINT00000448","Tire",2037.18,"Emergency Tire",7.8
"MAINT00000449","Tire",890.42,"Scheduled Tire",0.6
"MAINT00000450","Brake",2728.10,"Routine Brake",2.6
"MAINT00000451","Repair",1411.24,"Emergency Repair",3.9
"MAINT00000452","Brake",2777.72,"Scheduled Brake",6.7
"MAINT00000453","Preventive",2134.28,"Routine Preventive",5.2
"MAINT00000454","Engine",1709.66,"Emergency Engine",6.9
"MAINT00000455","Tire",369.51,"Scheduled Tire",2.1
"MAINT00000456","Inspection",457.82,"Emergency Inspection",4.7
"MAINT00000457","Engine",3511.52,"Routine Engine",4.4
"MAINT00000458","Repair",2056.87,"Scheduled Repair",4.3
"MAINT00000459","Brake",2861.08,"Scheduled Brake",0.9
"MAINT00000460","Tire",2376.55,"Emergency Tire",5.3
"MAINT00000461","Tire",3392.14,"Emergency Tire",2.4
"MAINT00000462","Brake",580.79,"Routine Brake",1.2
"MAINT00000463","Preventive",2266.69,"Emergency Preventive",3.6
"MAINT00000464","Tire",3750.22,"Routine Tire",4.1
"MAINT00000465","Tire",3481.84,"Scheduled Tire",3.9
"MAINT00000466","Repair",856.63,"Routine Repair",4.0
"MAINT00000468","Preventive",2218.18,"Emergency Preventive",5.6
"MAINT00000469","Repair",1835.99,"Emergency Repair",1.8
"MAINT00000470","Tire",2780.31,"Emergency Tire",1.5
"MAINT00000471","Preventive",1749.24,"Routine Preventive",5.1
"MAINT00000472","Inspection",447.82,"Routine Inspection",3.9
"MAINT00000473","Inspection",440.14,"Routine Inspection",3.2
"MAINT00000474","Preventive",1677.09,"Routine Preventive",5.6
"MAINT00000475","Repair",3139.37,"Scheduled Repair",5.5
"MAINT00000476","Engine",568.34,"Scheduled Engine",1.1
"MAINT00000477","Brake",1652.76,"Emergency Brake",2.4
"MAINT00000478","Engine",651.00,"Emergency Engine",2.2
"MAINT00000479","Brake",1649.74,"Emergency Brake",2.1
"MAINT00000480","Transmission",2960.59,"Scheduled Transmission",4.1
"MAINT00000481","Preventive",3204.96,"Routine Preventive",3.4
"MAINT00000482","Tire",3714.87,"Emergency Tire",2.8
"MAINT00000483","Tire",2671.34,"Emergency Tire",2.9
"MAINT00000484","Repair",2802.88,"Scheduled Repair",8.0
"MAINT00000485","Preventive",3943.40,"Emergency Preventive",7.8
"MAINT00000486","Tire",831.69,"Emergency Tire",5.8
"MAINT00000487","Inspection",394.46,"Routine Inspection",3.2
"MAINT00000488","Engine",2774.46,"Emergency Engine",5.2
"MAINT00000489","Tire",986.98,"Routine Tire",6.0
"MAINT00000490","Engine",871.02,"Scheduled Engine",3.2
"MAINT00000491","Repair",4011.97,"Emergency Repair",7.3
"MAINT00000492","Engine",2121.78,"Scheduled Engine",6.7
"MAINT00000493","Engine",1614.77,"Scheduled Engine",3.2
"MAINT00000494","Preventive",1421.98,"Routine Preventive",5.0
"MAINT00000495","Inspection",620.30,"Routine Inspection",4.5
"MAINT00000496","Transmission",1499.16,"Routine Transmission",5.1
"MAINT00000497","Repair",1366.47,"Routine Repair",5.2
"MAINT00000498","Repair",1077.68,"Scheduled Repair",4.5
"MAINT00000499","Tire",3040.53,"Routine Tire",7.1
"MAINT00000500","Engine",711.82,"Emergency Engine",0.5
"MAINT00000501","Engine",3304.99,"Emergency Engine",7.4
"MAINT00000502","Tire",626.26,"Scheduled Tire",1.1
"MAINT00000503","Tire",3855.85,"Routine Tire",5.7
"MAINT00000504","Transmission",2050.44,"Scheduled Transmission",5.4
"MAINT00000505","Engine",3783.32,"Emergency Engine",7.0
"MAINT00000506","Transmission",3400.23,"Routine Transmission",3.0
"MAINT00000507","Preventive",2497.53,"Emergency Preventive",1.0
"MAINT00000508","Inspection",307.60,"Scheduled Inspection",2.4
"MAINT00000509","Inspection",812.88,"Scheduled Inspection",6.9
"MAINT00000510","Tire",1514.36,"Routine Tire",0.6
"MAINT00000511","Repair",1055.28,"Routine Repair",2.9
"MAINT00000512","Repair",2052.18,"Scheduled Repair",3.0
"MAINT00000513","Brake",2986.96,"Emergency Brake",6.9
"MAINT00000514","Preventive",1029.53,"Routine Preventive",2.5
"MAINT00000515","Tire",641.85,"Scheduled Tire",3.8
"MAINT00000516","Engine",2591.64,"Routine Engine",5.3
"MAINT00000517","Brake",3412.09,"Emergency Brake",7.8
"MAINT00000518","Tire",1133.09,"Emergency Tire",6.0
"MAINT00000519","Preventive",1645.92,"Routine Preventive",1.3
"MAINT00000520","Inspection",60.82,"Scheduled Inspection",0.6
"MAINT00000521","Tire",2280.36,"Emergency Tire",1.1
"MAINT00000522","Preventive",572.32,"Routine Preventive",1.1
"MAINT00000523","Engine",601.92,"Scheduled Engine",2.6
"MAINT00000524","Brake",1295.19,"Scheduled Brake",5.3
"MAINT00000525","Repair",2365.61,"Emergency Repair",3.9
"MAINT00000526","Tire",2294.70,"Scheduled Tire",7.1
"MAINT00000527","Inspection",865.08,"Routine Inspection",7.1
"MAINT00000528","Repair",3518.68,"Routine Repair",3.7
"MAINT00000529","Engine",1498.04,"Emergency Engine",1.8
"MAINT00000530","Engine",1402.01,"Scheduled Engine",7.9
"MAINT00000531","Inspection",897.32,"Scheduled Inspection",7.0
"MAINT00000532","Inspection",247.87,"Emergency Inspection",1.4
"MAINT00000533","Engine",907.05,"Scheduled Engine",4.1
"MAINT00000534","Tire",1089.51,"Emergency Tire",5.7
"MAINT00000535","Brake",3350.47,"Emergency Brake",7.1
"MAINT00000536","Transmission",825.66,"Emergency Transmission",1.0
"MAINT00000537","Inspection",178.59,"Scheduled Inspection",1.4
"MAINT00000538","Tire",2644.93,"Routine Tire",4.1
"MAINT00000539","Inspection",735.98,"Emergency Inspection",6.5
"MAINT00000540","Transmission",1507.94,"Routine Transmission",4.3
"MAINT00000541","Preventive",2290.80,"Scheduled Preventive",7.7
"MAINT00000542","Transmission",2208.60,"Emergency Transmission",4.1
"MAINT00000543","Tire",3781.71,"Scheduled Tire",3.1
"MAINT00000544","Engine",3084.38,"Scheduled Engine",5.0
"MAINT00000545","Inspection",213.83,"Scheduled Inspection",0.7
"MAINT00000546","Preventive",573.13,"Emergency Preventive",2.8
"MAINT00000547","Repair",1044.46,"Routine Repair",5.8
"MAINT00000548","Inspection",556.84,"Scheduled Inspection",4.8
"MAINT00000549","Inspection",717.71,"Scheduled Inspection",5.8
"MAINT00000550","Brake",2000.87,"Routine Brake",1.2
"MAINT00000551","Brake",2163.70,"Emergency Brake",6.1
"MAINT00000552","Inspection",98.43,"Routine Inspection",0.5
"MAINT00000553","Engine",2544.17,"Emergency Engine",6.0
"MAINT00000554","Tire",1921.22,"Routine Tire",6.3
"MAINT00000555","Inspection",567.48,"Emergency Inspection",5.5
"MAINT00000556","Brake",1177.49,"Routine Brake",1.4
"MAINT00000557","Transmission",2001.28,"Scheduled Transmission",1.1
"MAINT00000558","Brake",1631.58,"Scheduled Brake",0.8
"MAINT00000559","Preventive",2511.13,"Scheduled Preventive",5.0
"MAINT00000560","Repair",1192.35,"Emergency Repair",3.0
"MAINT00000561","Brake",2559.47,"Routine Brake",4.6
"MAINT00000562","Brake",1321.79,"Emergency Brake",6.4
"MAINT00000563","Repair",3598.48,"Emergency Repair",4.8
"MAINT00000564","Transmission",497.86,"Routine Transmission",2.8
"MAINT00000565","Tire",3168.11,"Routine Tire",5.3
"MAINT00000566","Brake",1391.16,"Routine Brake",8.0
"MAINT00000567","Inspection",739.41,"Emergency Inspection",7.2
"MAINT00000568","Engine",1667.48,"Emergency Engine",3.1
"MAINT00000569","Tire",1692.12,"Scheduled Tire",4.1
"MAINT00000570","Tire",2518.83,"Routine Tire",6.4
"MAINT00000571","Inspection",719.96,"Routine Inspection",5.5
"MAINT00000572","Preventive",1777.01,"Emergency Preventive",4.5
"MAINT00000573","Inspection",677.63,"Scheduled Inspection",7.0
"MAINT00000574","Preventive",3863.96,"Scheduled Preventive",7.7
"MAINT00000575","Preventive",1257.36,"Routine Preventive",1.6
"MAINT00000576","Engine",1009.71,"Emergency Engine",7.2
"MAINT00000577","Tire",1022.92,"Scheduled Tire",4.0
"MAINT00000578","Transmission",2446.08,"Scheduled Transmission",6.9
"MAINT00000579","Transmission",2288.85,"Scheduled Transmission",2.1
"MAINT00000580","Brake",2843.70,"Scheduled Brake",1.8
"MAINT00000581","Preventive",3286.87,"Emergency Preventive",6.6
"MAINT00000582","Tire",2944.76,"Scheduled Tire",0.8
"MAINT00000583","Brake",3647.92,"Scheduled Brake",6.0
"MAINT00000584","Repair",2918.67,"Emergency Repair",4.6
"MAINT00000585","Repair",644.41,"Scheduled Repair",4.1
"MAINT00000586","Inspection",666.00,"Emergency Inspection",6.8
"MAINT00000587","Transmission",2040.22,"Emergency Transmission",1.2
"MAINT00000588","Inspection",408.64,"Routine Inspection",2.3
"MAINT00000589","Brake",4153.61,"Routine Brake",7.5
"MAINT00000590","Transmission",1535.61,"Routine Transmission",5.5
"MAINT00000591","Tire",1521.94,"Emergency Tire",7.7
"MAINT00000592","Inspection",853.86,"Emergency Inspection",6.5
"MAINT00000593","Tire",833.15,"Routine Tire",5.1
"MAINT00000594","Engine",1783.10,"Emergency Engine",5.5
"MAINT00000595","Transmission",547.27,"Routine Transmission",2.8
"MAINT00000596","Repair",2730.51,"Emergency Repair",4.7
"MAINT00000597","Brake",2478.26,"Scheduled Brake",7.4
"MAINT00000598","Preventive",3827.45,"Scheduled Preventive",4.8
"MAINT00000599","Engine",856.33,"Routine Engine",5.6
"MAINT00000600","Tire",1426.82,"Emergency Tire",1.4
"MAINT00000601","Inspection",819.78,"Emergency Inspection",7.1
"MAINT00000602","Transmission",3479.07,"Routine Transmission",7.3
"MAINT00000603","Transmission",2796.10,"Emergency Transmission",4.8
"MAINT00000604","Engine",3093.64,"Routine Engine",5.2
"MAINT00000605","Inspection",358.90,"Scheduled Inspection",2.2
"MAINT00000606","Transmission",1413.09,"Emergency Transmission",5.3
"MAINT00000607","Inspection",287.97,"Scheduled Inspection",1.7
"MAINT00000608","Inspection",382.57,"Emergency Inspection",2.9
"MAINT00000609","Engine",788.87,"Scheduled Engine",5.7
"MAINT00000610","Inspection",393.70,"Emergency Inspection",2.3
"MAINT00000611","Tire",3883.76,"Scheduled Tire",7.2
"MAINT00000612","Transmission",735.24,"Scheduled Transmission",1.7
"MAINT00000613","Inspection",168.48,"Routine Inspection",0.6
"MAINT00000614","Transmission",452.85,"Emergency Transmission",1.9
"MAINT00000615","Engine",1879.96,"Emergency Engine",5.5
"MAINT00000616","Tire",955.80,"Scheduled Tire",7.1
"MAINT00000617","Transmission",3214.60,"Scheduled Transmission",3.4
"MAINT00000618","Repair",1677.63,"Scheduled Repair",4.2
"MAINT00000619","Brake",2995.56,"Emergency Brake",6.6
"MAINT00000620","Tire",2385.94,"Scheduled Tire",3.9
"MAINT00000621","Repair",1998.57,"Routine Repair",3.6
"MAINT00000622","Repair",3193.05,"Routine Repair",5.3
"MAINT00000623","Repair",3473.04,"Scheduled Repair",2.3
"MAINT00000624","Transmission",910.17,"Scheduled Transmission",5.4
"MAINT00000625","Engine",3389.14,"Scheduled Engine",3.8
"MAINT00000626","Preventive",2613.09,"Emergency Preventive",5.8
"MAINT00000627","Transmission",2218.85,"Emergency Transmission",7.2
"MAINT00000628","Preventive",2680.95,"Emergency Preventive",7.7
"MAINT00000629","Transmission",1370.82,"Routine Transmission",2.8
"MAINT00000630","Repair",3035.49,"Emergency Repair",0.6
"MAINT00000631","Inspection",760.26,"Emergency Inspection",5.9
"MAINT00000632","Tire",1781.87,"Routine Tire",2.3
"MAINT00000633","Transmission",2424.08,"Routine Transmission",1.0
"MAINT00000634","Repair",1658.17,"Scheduled Repair",7.2
"MAINT00000635","Preventive",619.77,"Scheduled Preventive",4.0
"MAINT00000636","Tire",2098.57,"Emergency Tire",2.5
"MAINT00000637","Inspection",861.58,"Emergency Inspection",6.9
"MAINT00000638","Repair",3514.84,"Scheduled Repair",1.0
"MAINT00000639","Repair",4032.01,"Routine Repair",7.2
"MAINT00000640","Transmission",2585.92,"Routine Transmission",2.8
"MAINT00000641","Repair",3467.23,"Emergency Repair",5.6
"MAINT00000642","Repair",1540.13,"Emergency Repair",0.8
"MAINT00000643","Engine",2059.84,"Scheduled Engine",5.3
"MAINT00000644","Engine",873.82,"Scheduled Engine",1.0
"MAINT00000645","Transmission",1401.93,"Routine Transmission",4.0
"MAINT00000646","Preventive",3380.20,"Emergency Preventive",5.3
"MAINT00000647","Tire",4048.75,"Emergency Tire",5.9
"MAINT00000648","Preventive",4111.57,"Routine Preventive",6.5
"MAINT00000649","Repair",1826.25,"Emergency Repair",1.4
"MAINT00000650","Repair",2750.21,"Scheduled Repair",1.1
"MAINT00000651","Inspection",392.20,"Emergency Inspection",3.7
"MAINT00000652","Tire",3827.49,"Emergency Tire",4.5
"MAINT00000653","Tire",2023.54,"Emergency Tire",1.4
"MAINT00000654","Repair",3406.09,"Emergency Repair",3.9
"MAINT00000655","Preventive",1955.98,"Scheduled Preventive",7.4
"MAINT00000656","Inspection",477.82,"Emergency Inspection",3.6
"MAINT00000657","Preventive",3204.54,"Scheduled Preventive",7.9
"MAINT00000658","Preventive",879.82,"Routine Preventive",1.3
"MAINT00000659","Brake",3739.78,"Emergency Brake",3.3
"MAINT00000660","Tire",3402.30,"Scheduled Tire",6.9
"MAINT00000661","Inspection",706.93,"Emergency Inspection",5.5
"MAINT00000662","Tire",2227.85,"Routine Tire",5.2
"MAINT00000663","Transmission",2272.78,"Scheduled Transmission",5.3
"MAINT00000664","Engine",1778.00,"Routine Engine",4.0
"MAINT00000665","Transmission",422.36,"Emergency Transmission",3.2
"MAINT00000666","Transmission",2759.81,"Routine Transmission",1.2
"MAINT00000667","Repair",1114.84,"Routine Repair",6.5
"MAINT00000668","Preventive",1580.56,"Scheduled Preventive",4.2
"MAINT00000669","Tire",702.34,"Scheduled Tire",4.2
"MAINT00000670","Brake",782.55,"Emergency Brake",0.5
"MAINT00000671","Tire",2480.51,"Emergency Tire",0.8
"MAINT00000672","Inspection",964.91,"Scheduled Inspection",7.7
"MAINT00000673","Inspection",843.81,"Scheduled Inspection",6.9
"MAINT00000674","Repair",2058.05,"Scheduled Repair",0.8
"MAINT00000675","Inspection",257.42,"Scheduled Inspection",1.8
"MAINT00000676","Transmission",3515.21,"Scheduled Transmission",6.5
"MAINT00000677","Engine",1946.30,"Scheduled Engine",4.6
"MAINT00000678","Preventive",2112.02,"Routine Preventive",1.3
"MAINT00000679","Engine",3760.54,"Routine Engine",5.4
"MAINT00000680","Preventive",668.39,"Emergency Preventive",2.3
"MAINT00000681","Transmission",1046.74,"Emergency Transmission",4.4
"MAINT00000682","Transmission",3164.51,"Routine Transmission",0.6
"MAINT00000683","Preventive",1538.43,"Routine Preventive",3.9
"MAINT00000684","Tire",1757.36,"Routine Tire",2.6
"MAINT00000685","Repair",3091.41,"Routine Repair",7.9
"MAINT00000686","Transmission",3263.63,"Scheduled Transmission",0.9
"MAINT00000687","Brake",1053.80,"Scheduled Brake",4.4
"MAINT00000688","Repair",2371.10,"Emergency Repair",6.9
"MAINT00000689","Transmission",555.80,"Scheduled Transmission",2.6
"MAINT00000690","Tire",3509.74,"Routine Tire",5.2
"MAINT00000691","Transmission",827.74,"Emergency Transmission",1.0
"MAINT00000692","Tire",3349.83,"Scheduled Tire",7.8
"MAINT00000693","Transmission",1563.20,"Routine Transmission",2.3
"MAINT00000694","Tire",3188.83,"Emergency Tire",1.4
"MAINT00000695","Brake",1573.53,"Routine Brake",5.8
"MAINT00000696","Tire",2366.70,"Emergency Tire",5.4
"MAINT00000697","Brake",1249.06,"Emergency Brake",6.5
"MAINT00000698","Tire",1001.47,"Emergency Tire",4.2
"MAINT00000699","Engine",829.45,"Emergency Engine",5.1
"MAINT00000700","Engine",3562.33,"Routine Engine",6.0
"MAINT00000701","Transmission",1631.81,"Emergency Transmission",2.6
"MAINT00000702","Brake",3372.41,"Emergency Brake",6.3
"MAINT00000703","Brake",3609.79,"Scheduled Brake",2.9
"MAINT00000704","Transmission",3208.55,"Scheduled Transmission",4.0
"MAINT00000705","Tire",317.79,"Emergency Tire",0.8
"MAINT00000706","Inspection",294.86,"Scheduled Inspection",2.2
"MAINT00000707","Engine",1763.78,"Routine Engine",2.7
"MAINT00000708","Inspection",506.01,"Routine Inspection",4.4
"MAINT00000709","Repair",899.21,"Emergency Repair",7.3
"MAINT00000710","Transmission",1461.77,"Routine Transmission",4.4
"MAINT00000711","Tire",1720.32,"Emergency Tire",5.6
"MAINT00000712","Brake",3880.38,"Routine Brake",7.4
"MAINT00000713","Tire",1520.12,"Routine Tire",5.6
"MAINT00000714","Repair",1117.13,"Emergency Repair",7.0
"MAINT00000715","Repair",2418.79,"Scheduled Repair",7.0
"MAINT00000716","Repair",3053.08,"Emergency Repair",3.6
"MAINT00000717","Transmission",1937.59,"Emergency Transmission",1.9
"MAINT00000718","Tire",1712.64,"Scheduled Tire",7.2
"MAINT00000719","Transmission",1389.10,"Emergency Transmission",3.4
"MAINT00000720","Inspection",314.39,"Emergency Inspection",2.6
"MAINT00000721","Brake",2018.29,"Emergency Brake",6.5
"MAINT00000722","Inspection",590.96,"Emergency Inspection",4.7
"MAINT00000723","Transmission",2468.06,"Routine Transmission",1.9
"MAINT00000724","Repair",1664.40,"Emergency Repair",3.9
"MAINT00000725","Preventive",903.66,"Emergency Preventive",4.5
"MAINT00000726","Repair",3504.69,"Emergency Repair",0.7
"MAINT00000727","Brake",1358.21,"Scheduled Brake",2.1
"MAINT00000728","Engine",3564.46,"Scheduled Engine",6.6
"MAINT00000729","Repair",2930.09,"Emergency Repair",7.3
"MAINT00000730","Tire",1068.02,"Routine Tire",3.4
"MAINT00000731","Preventive",2023.53,"Emergency Preventive",5.8
"MAINT00000732","Tire",2578.33,"Emergency Tire",1.7
"MAINT00000733","Preventive",4121.21,"Emergency Preventive",7.0
"MAINT00000734","Tire",3175.43,"Routine Tire",2.1
"MAINT00000735","Engine",665.26,"Scheduled Engine",0.7
"MAINT00000736","Brake",2980.24,"Routine Brake",4.8
"MAINT00000737","Engine",3219.98,"Emergency Engine",3.9
"MAINT00000738","Inspection",715.06,"Emergency Inspection",5.3
"MAINT00000739","Inspection",893.02,"Scheduled Inspection",6.6
"MAINT00000740","Transmission",121.54,"Routine Transmission",0.7
"MAINT00000741","Tire",2998.86,"Scheduled Tire",1.7
"MAINT00000742","Repair",3740.55,"Emergency Repair",2.2
"MAINT00000743","Repair",623.09,"Emergency Repair",4.0
"MAINT00000744","Preventive",2164.12,"Emergency Preventive",6.3
"MAINT00000745","Tire",1794.04,"Routine Tire",4.6
"MAINT00000746","Tire",1069.20,"Scheduled Tire",4.6
"MAINT00000747","Inspection",588.02,"Scheduled Inspection",5.1
"MAINT00000748","Engine",2651.84,"Routine Engine",5.6
"MAINT00000749","Repair",3438.23,"Emergency Repair",4.5
"MAINT00000750","Inspection",489.08,"Routine Inspection",4.2
"MAINT00000751","Brake",1590.00,"Routine Brake",5.5
"MAINT00000752","Tire",575.69,"Scheduled Tire",3.0
"MAINT00000753","Preventive",1784.77,"Emergency Preventive",5.6
"MAINT00000754","Brake",1016.35,"Routine Brake",3.4
"MAINT00000755","Preventive",1162.47,"Scheduled Preventive",5.6
"MAINT00000756","Preventive",3143.84,"Routine Preventive",2.4
"MAINT00000757","Engine",2319.38,"Emergency Engine",4.8
"MAINT00000758","Engine",1293.04,"Routine Engine",3.1
"MAINT00000759","Tire",2586.53,"Emergency Tire",5.2
"MAINT00000760","Repair",3351.42,"Routine Repair",3.9
"MAINT00000761","Engine",2643.74,"Routine Engine",5.5
"MAINT00000762","Tire",3060.75,"Emergency Tire",4.7
"MAINT00000763","Transmission",2361.32,"Routine Transmission",3.9
"MAINT00000764","Inspection",783.33,"Routine Inspection",7.0
"MAINT00000765","Transmission",2524.28,"Routine Transmission",6.7
"MAINT00000766","Brake",4185.24,"Emergency Brake",6.6
"MAINT00000767","Preventive",1110.89,"Scheduled Preventive",1.2
"MAINT00000768","Repair",3559.83,"Routine Repair",7.1
"MAINT00000769","Inspection",297.94,"Emergency Inspection",2.4
"MAINT00000770","Tire",1352.40,"Routine Tire",4.1
"MAINT00000771","Inspection",209.61,"Emergency Inspection",1.2
"MAINT00000772","Engine",2984.35,"Emergency Engine",4.7
"MAINT00000773","Tire",1891.14,"Routine Tire",2.0
"MAINT00000774","Tire",493.09,"Scheduled Tire",2.4
"MAINT00000775","Tire",2990.13,"Routine Tire",2.2
"MAINT00000776","Preventive",1619.84,"Scheduled Preventive",3.5
"MAINT00000777","Repair",1928.63,"Routine Repair",1.1
"MAINT00000778","Transmission",1388.08,"Routine Transmission",6.2
"MAINT00000779","Tire",2552.07,"Emergency Tire",7.6
"MAINT00000780","Inspection",483.94,"Scheduled Inspection",4.1
"MAINT00000781","Transmission",3945.38,"Routine Transmission",6.7
"MAINT00000782","Repair",2560.59,"Emergency Repair",1.6
"MAINT00000783","Repair",3382.39,"Emergency Repair",0.5
"MAINT00000784","Tire",524.57,"Scheduled Tire",1.4
"MAINT00000785","Brake",3175.66,"Emergency Brake",3.6
"MAINT00000786","Tire",2768.44,"Scheduled Tire",0.6
"MAINT00000787","Preventive",1257.21,"Routine Preventive",2.0
"MAINT00000788","Inspection",482.95,"Scheduled Inspection",4.4
"MAINT00000789","Tire",774.16,"Routine Tire",1.7
"MAINT00000790","Preventive",2784.27,"Emergency Preventive",7.8
"MAINT00000791","Preventive",2132.21,"Routine Preventive",7.8
"MAINT00000792","Inspection",665.40,"Scheduled Inspection",5.0
"MAINT00000793","Engine",814.30,"Emergency Engine",3.3
"MAINT00000794","Tire",1644.78,"Scheduled Tire",7.3
"MAINT00000795","Engine",2157.94,"Scheduled Engine",3.0
"MAINT00000796","Brake",645.40,"Emergency Brake",1.2
"MAINT00000797","Inspection",412.26,"Routine Inspection",3.1
"MAINT00000798","Tire",3037.33,"Routine Tire",2.7
"MAINT00000799","Engine",2050.73,"Routine Engine",3.5
"MAINT00000800","Preventive",3205.85,"Routine Preventive",3.6
"MAINT00000801","Brake",938.85,"Routine Brake",4.4
"MAINT00000802","Inspection",209.01,"Emergency Inspection",1.3
"MAINT00000803","Brake",3357.16,"Emergency Brake",2.6
"MAINT00000804","Inspection",200.63,"Emergency Inspection",0.7
"MAINT00000805","Repair",1406.62,"Routine Repair",5.7
"MAINT00000806","Brake",1597.53,"Scheduled Brake",5.4
"MAINT00000807","Repair",2661.32,"Routine Repair",5.6
"MAINT00000808","Engine",2916.26,"Scheduled Engine",4.9
"MAINT00000809","Preventive",717.04,"Emergency Preventive",4.1
"MAINT00000810","Tire",2170.85,"Routine Tire",3.5
"MAINT00000811","Tire",851.83,"Routine Tire",6.7
"MAINT00000812","Engine",911.88,"Emergency Engine",1.5
"MAINT00000813","Repair",3055.34,"Routine Repair",6.1
"MAINT00000814","Preventive",1952.52,"Emergency Preventive",6.2
"MAINT00000815","Preventive",1386.29,"Scheduled Preventive",1.8
"MAINT00000816","Engine",3692.78,"Routine Engine",5.0
"MAINT00000817","Repair",2769.81,"Scheduled Repair",0.6
"MAINT00000818","Engine",1039.47,"Scheduled Engine",3.3
"MAINT00000819","Brake",1483.41,"Emergency Brake",5.4
"MAINT00000820","Repair",1030.90,"Routine Repair",2.5
"MAINT00000821","Preventive",223.88,"Routine Preventive",1.7
"MAINT00000822","Engine",1147.88,"Routine Engine",6.1
"MAINT00000823","Preventive",2675.36,"Scheduled Preventive",2.8
"MAINT00000824","Tire",1877.92,"Emergency Tire",7.0
"MAINT00000825","Inspection",417.59,"Scheduled Inspection",3.3
"MAINT00000826","Brake",2535.31,"Emergency Brake",3.0
"MAINT00000827","Inspection",292.66,"Routine Inspection",1.9
"MAINT00000828","Inspection",611.37,"Routine Inspection",4.6
"MAINT00000829","Brake",713.73,"Scheduled Brake",5.6
"MAINT00000830","Engine",2817.70,"Scheduled Engine",6.1
"MAINT00000831","Preventive",943.54,"Scheduled Preventive",4.9
"MAINT00000832","Preventive",3594.09,"Routine Preventive",1.8
"MAINT00000833","Brake",1413.14,"Routine Brake",2.7
"MAINT00000834","Tire",3336.38,"Scheduled Tire",1.1
"MAINT00000835","Engine",777.95,"Routine Engine",5.7
"MAINT00000836","Repair",2103.04,"Emergency Repair",2.8
"MAINT00000837","Engine",2497.84,"Emergency Engine",4.1
"MAINT00000838","Transmission",2425.28,"Emergency Transmission",1.2
"MAINT00000839","Inspection",800.78,"Routine Inspection",7.6
"MAINT00000840","Transmission",2023.99,"Scheduled Transmission",6.4
"MAINT00000841","Preventive",2494.44,"Scheduled Preventive",4.5
"MAINT00000842","Preventive",512.33,"Scheduled Preventive",0.9
"MAINT00000843","Tire",1239.40,"Scheduled Tire",4.4
"MAINT00000844","Repair",1737.15,"Scheduled Repair",0.6
"MAINT00000845","Engine",2738.50,"Emergency Engine",6.2
"MAINT00000846","Preventive",3821.13,"Scheduled Preventive",6.1
"MAINT00000847","Engine",723.72,"Emergency Engine",4.2
"MAINT00000848","Engine",815.53,"Emergency Engine",6.7
"MAINT00000849","Preventive",3621.97,"Routine Preventive",7.9
"MAINT00000850","Inspection",533.97,"Scheduled Inspection",3.7
"MAINT00000851","Tire",3632.89,"Emergency Tire",5.2
"MAINT00000852","Engine",821.62,"Scheduled Engine",3.7
"MAINT00000853","Preventive",3371.15,"Routine Preventive",3.5
"MAINT00000854","Brake",1568.05,"Routine Brake",6.9
"MAINT00000855","Transmission",1666.27,"Scheduled Transmission",0.6
"MAINT00000856","Tire",1126.96,"Scheduled Tire",4.5
"MAINT00000857","Engine",2476.84,"Scheduled Engine",6.1
"MAINT00000858","Transmission",1629.14,"Scheduled Transmission",1.4
"MAINT00000859","Brake",1015.60,"Routine Brake",7.8
"MAINT00000860","Brake",3590.35,"Emergency Brake",2.3
"MAINT00000861","Engine",1136.10,"Scheduled Engine",2.5
"MAINT00000862","Repair",2581.75,"Scheduled Repair",2.4
"MAINT00000863","Preventive",1213.47,"Scheduled Preventive",4.1
"MAINT00000864","Preventive",2224.30,"Scheduled Preventive",4.1
"MAINT00000865","Preventive",3226.99,"Scheduled Preventive",5.1
"MAINT00000866","Brake",2479.52,"Routine Brake",0.7
"MAINT00000867","Preventive",871.87,"Emergency Preventive",5.2
"MAINT00000868","Inspection",436.23,"Routine Inspection",4.5
"MAINT00000869","Engine",3261.73,"Routine Engine",4.0
"MAINT00000870","Tire",1008.89,"Emergency Tire",7.3
"MAINT00000871","Repair",879.51,"Routine Repair",6.8
"MAINT00000872","Brake",2791.38,"Scheduled Brake",6.0
"MAINT00000873","Inspection",268.88,"Emergency Inspection",2.2
"MAINT00000874","Repair",2479.88,"Scheduled Repair",4.8
"MAINT00000875","Brake",3312.43,"Scheduled Brake",1.8
"MAINT00000876","Repair",3337.78,"Scheduled Repair",4.0
"MAINT00000877","Transmission",1939.38,"Emergency Transmission",5.4
"MAINT00000878","Tire",1340.30,"Scheduled Tire",4.5
"MAINT00000879","Transmission",493.79,"Emergency Transmission",2.9
"MAINT00000880","Preventive",1608.06,"Routine Preventive",2.3
"MAINT00000881","Brake",1868.28,"Emergency Brake",2.8
"MAINT00000882","Repair",3305.05,"Routine Repair",4.2
"MAINT00000883","Tire",709.45,"Emergency Tire",7.3
"MAINT00000884","Engine",1877.25,"Routine Engine",7.9
